"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name","Total recorded crime
 (excluding fraud)","Violence against
 the person",Homicide,"Death or serious
 injury caused by
 illegal driving",Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000036,Avon and Somerset,,,,,"143,778 ","55,507 ",21 ,2 ,"13,661 ","23,530 ","18,293 ","5,659 ","1,598 ","38,777 ","6,878 ","4,922 ","1,956 ","8,781 ",937 ,"2,765 ","8,486 ","10,930 ","15,031 ","3,050 ",868 ,"20,627 ","2,661 "
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,"12,826 ","4,752 ",1 ,0 ,"1,256 ","1,936 ","1,559 ",471 ,124 ,"3,934 ",695 ,488 ,207 ,842 ,81 ,166 ,"1,047 ","1,103 ","1,311 ",227 ,45 ,"1,754 ",208 
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,Bristol,"54,781 ","19,480 ",11 ,0 ,"5,086 ","8,554 ","5,829 ","1,885 ",892 ,"16,407 ","2,828 ","2,112 ",716 ,"4,411 ",556 ,"1,646 ","2,708 ","4,258 ","5,717 ","1,190 ",332 ,"7,967 ",911
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,"15,321 ","6,436 ",1 ,0 ,"1,535 ","2,762 ","2,138 ",617 ,126 ,"3,541 ",725 ,495 ,230 ,736 ,72 ,192 ,735 ,"1,081 ","1,608 ",367 ,134 ,"2,205 ",287 
E23000036,Avon and Somerset,E22000369,Somerset,Combined Local Authorities,,"41,431 ","17,609 ",6 ,1 ,"4,212 ","7,411 ","5,979 ","1,803 ",284 ,"8,979 ","1,512 ",996 ,516 ,"1,505 ",149 ,517 ,"2,358 ","2,938 ","4,587 ",800 ,260 ,"6,296 ",813 
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,"17,604 ","6,633 ",2 ,1 ,"1,450 ","2,631 ","2,549 ",685 ,166 ,"5,428 ","1,018 ",738 ,280 ,"1,171 ",48 ,200 ,"1,612 ","1,379 ","1,642 ",356 ,84 ,"2,245 ",365 
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,"1,815 ",597 ,0 ,0 ,122 ,236 ,239 ,198 ,6 ,488 ,100 ,93 ,7 ,116 ,31 ,44 ,26 ,171 ,166 ,110 ,13 ,160 ,77 
E23000026,Bedfordshire,,,,,"52,388 ","19,165 ",10 ,24 ,"5,042 ","8,232 ","5,857 ","1,776 ",594 ,"17,043 ","2,884 ","1,884 ","1,000 ","5,034 ",463 ,654 ,"3,616 ","4,392 ","4,831 ","1,843 ",476 ,"5,514 ","1,146 "
E23000026,Bedfordshire,E22000009,Bedford,E06000055,Bedford,"15,343 ","5,666 ",3 ,7 ,"1,503 ","2,514 ","1,639 ",470 ,162 ,"5,011 ",863 ,526 ,337 ,"1,380 ",137 ,350 ,"1,136 ","1,145 ","1,448 ",530 ,104 ,"1,606 ",346 
E23000026,Bedfordshire,E22000353,Central Bedfordshire,E06000056,Central Bedfordshire,"15,908 ","5,453 ",3 ,14 ,"1,438 ","2,090 ","1,908 ",488 ,158 ,"5,763 ",972 ,638 ,334 ,"1,760 ",94 ,153 ,"1,129 ","1,655 ","1,623 ",326 ,93 ,"1,663 ",341 
E23000026,Bedfordshire,E22000010,Luton,E06000032,Luton,"19,908 ","7,537 ",4 ,2 ,"1,999 ","3,404 ","2,128 ",627 ,261 ,"6,115 ","1,036 ",717 ,319 ,"1,857 ",220 ,148 ,"1,319 ","1,535 ","1,684 ",864 ,262 ,"2,150 ",408 
E23000026,Bedfordshire,,Unassigned Bedfordshire,,,"1,229 ",509 ,0 ,1 ,102 ,224 ,182 ,191 ,13 ,154 ,13 ,3 ,10 ,37 ,12 ,3 ,32 ,57 ,76 ,123 ,17 ,95 ,51 
E23000023,Cambridgeshire,,,,,"68,800 ","25,568 ",4 ,37 ,"5,851 ","12,172 ","7,504 ","2,653 ",654 ,"20,818 ","3,248 ","1,984 ","1,264 ","4,473 ",769 ,"2,584 ","3,776 ","5,968 ","7,115 ","1,897 ",721 ,"7,674 ","1,700 "
E23000023,Cambridgeshire,E22000013,Cambridge,E07000008,Cambridge,"14,324 ","4,465 ",0 ,1 ,"1,137 ","2,256 ","1,071 ",505 ,183 ,"5,461 ",534 ,377 ,157 ,785 ,348 ,"1,572 ","1,125 ","1,097 ","1,261 ",405 ,142 ,"1,645 ",257 
E23000023,Cambridgeshire,E22000014,East Cambridgeshire,E07000009,East Cambridgeshire,"4,068 ","1,546 ",0 ,1 ,348 ,680 ,517 ,166 ,23 ,"1,192 ",223 ,119 ,104 ,267 ,36 ,51 ,268 ,347 ,412 ,62 ,25 ,527 ,115 
E23000023,Cambridgeshire,E22000015,Fenland,E07000010,Fenland,"8,136 ","3,201 ",0 ,9 ,755 ,"1,447 ",990 ,270 ,59 ,"2,188 ",424 ,203 ,221 ,380 ,41 ,111 ,442 ,790 ,"1,004 ",178 ,87 ,940 ,209 
E23000023,Cambridgeshire,E22000016,Huntingdonshire,E07000011,Huntingdonshire,"10,583 ","4,082 ",1 ,6 ,920 ,"1,858 ","1,297 ",427 ,48 ,"2,917 ",520 ,250 ,270 ,735 ,75 ,125 ,444 ,"1,018 ","1,128 ",412 ,118 ,"1,169 ",282 
E23000023,Cambridgeshire,E22000017,Peterborough,E06000031,Peterborough,"23,129 ","9,049 ",3 ,16 ,"2,025 ","4,490 ","2,515 ",844 ,293 ,"6,612 ",946 ,636 ,310 ,"1,646 ",213 ,614 ,"1,278 ","1,915 ","2,326 ",609 ,274 ,"2,592 ",530 
E23000023,Cambridgeshire,E22000018,South Cambridgeshire,E07000012,South Cambridgeshire,"7,235 ","2,624 ",0 ,4 ,537 ,"1,173 ",910 ,302 ,39 ,"2,319 ",591 ,391 ,200 ,642 ,42 ,94 ,205 ,745 ,878 ,149 ,54 ,703 ,167 
E23000023,Cambridgeshire,,Unassigned Cambridgeshire,,,"1,325 ",601 ,0 ,0 ,129 ,268 ,204 ,139 ,9 ,129 ,10 ,8 ,2 ,18 ,14 ,17 ,14 ,56 ,106 ,82 ,21 ,98 ,140 
E23000006,Cheshire,,,,,"89,360 ","41,408 ",3 ,15 ,"10,463 ","13,852 ","17,075 ","3,665 ",409 ,"17,639 ","3,307 ","2,474 ",833 ,"2,867 ",358 ,994 ,"4,194 ","5,919 ","8,002 ","1,899 ",398 ,"14,156 ","1,784 "
E23000006,Cheshire,E22000354,Cheshire East,E06000049,Cheshire East,"22,271 ","10,040 ",1 ,6 ,"2,592 ","3,438 ","4,003 ",911 ,98 ,"4,917 ","1,063 ",817 ,246 ,810 ,70 ,257 ,"1,161 ","1,556 ","1,998 ",408 ,107 ,"3,383 ",409 
E23000006,Cheshire,E22000355,Cheshire West and Chester,E06000050,Cheshire West and Chester,"28,070 ","13,103 ",0 ,3 ,"3,397 ","4,387 ","5,316 ","1,130 ",94 ,"5,327 ",865 ,626 ,239 ,657 ,117 ,238 ,"1,471 ","1,979 ","2,536 ",577 ,121 ,"4,670 ",512 
E23000006,Cheshire,E22000023,Halton,E06000006,Halton,"13,465 ","6,325 ",1 ,0 ,"1,515 ","2,078 ","2,731 ",475 ,84 ,"2,226 ",480 ,367 ,113 ,383 ,40 ,181 ,476 ,666 ,"1,372 ",410 ,72 ,"2,183 ",318 
E23000006,Cheshire,,Unassigned Cheshire,,,"7,265 ","3,594 ",1 ,4 ,840 ,"1,084 ","1,665 ",372 ,28 ,"1,239 ",228 ,169 ,59 ,206 ,13 ,35 ,280 ,477 ,629 ,125 ,27 ,"1,074 ",177 
E23000006,Cheshire,E22000026,Warrington,E06000007,Warrington,"18,289 ","8,346 ",0 ,2 ,"2,119 ","2,865 ","3,360 ",777 ,105 ,"3,930 ",671 ,495 ,176 ,811 ,118 ,283 ,806 ,"1,241 ","1,467 ",379 ,71 ,"2,846 ",368 
E23000034,City of London,E22000180,City of London,E09000001,City of London,"7,014 ","1,225 ",1 ,1 ,452 ,668 ,103 ,130 ,110 ,"3,832 ",280 ,21 ,259 ,235 ,"1,064 ",261 ,718 ,"1,274 ",295 ,618 ,60 ,537 ,207 
E23000013,Cleveland,,,,,"76,759 ","28,802 ",7 ,15 ,"6,793 ","10,655 ","11,332 ","2,610 ",799 ,"21,100 ","4,499 ","3,317 ","1,182 ","3,827 ",473 ,813 ,"6,135 ","5,353 ","10,375 ","2,046 ",667 ,"8,454 ","1,906 "
E23000013,Cleveland,E22000027,Hartlepool,E06000001,Hartlepool,"12,268 ","4,775 ",1 ,3 ,"1,131 ","1,758 ","1,882 ",399 ,92 ,"3,420 ",814 ,607 ,207 ,490 ,52 ,138 ,"1,031 ",895 ,"1,504 ",347 ,96 ,"1,278 ",357 
E23000013,Cleveland,E22000029,Middlesbrough,E06000002,Middlesbrough,"27,104 ","9,804 ",4 ,5 ,"2,483 ","3,824 ","3,488 ",832 ,379 ,"7,469 ","1,488 ","1,119 ",369 ,"1,840 ",253 ,346 ,"1,660 ","1,882 ","3,899 ",838 ,250 ,"2,998 ",635 
E23000013,Cleveland,E22000028,Redcar and Cleveland,E06000003,Redcar and Cleveland,"15,362 ","5,781 ",1 ,2 ,"1,266 ","1,968 ","2,544 ",509 ,111 ,"4,231 ","1,019 ",758 ,261 ,651 ,65 ,90 ,"1,374 ","1,032 ","2,279 ",309 ,88 ,"1,701 ",353 
E23000013,Cleveland,E22000030,Stockton-on-Tees,E06000004,Stockton-on-Tees,"21,993 ","8,426 ",1 ,5 ,"1,903 ","3,102 ","3,415 ",866 ,217 ,"5,972 ","1,178 ",833 ,345 ,846 ,103 ,239 ,"2,063 ","1,543 ","2,691 ",551 ,233 ,"2,476 ",561 
E23000013,Cleveland,,Unassigned Cleveland,,,32 ,16 ,0 ,0 ,10 ,3 ,3 ,4 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,2 ,1 ,0 ,1 ,0 
E23000002,Cumbria,,,,,"38,492 ","17,326 ",3 ,9 ,"4,987 ","6,355 ","5,972 ","1,784 ",152 ,"7,406 ","1,614 ",999 ,615 ,849 ,102 ,209 ,"1,916 ","2,716 ","5,194 ",945 ,299 ,"4,673 ",713 
E23000002,Cumbria,E22000031,Allerdale,E07000026,Allerdale,"7,615 ","3,422 ",1 ,2 ,934 ,"1,211 ","1,274 ",351 ,25 ,"1,398 ",318 ,180 ,138 ,133 ,21 ,16 ,378 ,532 ,"1,046 ",217 ,70 ,938 ,148 
E23000002,Cumbria,E22000032,Barrow-in-Furness,E07000027,Barrow-in-Furness,"6,466 ","3,213 ",0 ,0 ,950 ,"1,203 ","1,060 ",278 ,22 ,"1,001 ",236 ,136 ,100 ,91 ,18 ,45 ,235 ,376 ,837 ,140 ,57 ,817 ,101 
E23000002,Cumbria,E22000033,Carlisle,E07000028,Carlisle,"10,627 ","4,677 ",2 ,4 ,"1,286 ","1,717 ","1,668 ",452 ,64 ,"2,185 ",423 ,300 ,123 ,276 ,37 ,95 ,700 ,654 ,"1,541 ",215 ,83 ,"1,216 ",194 
E23000002,Cumbria,E22000034,Copeland,E07000029,Copeland,"4,782 ","2,280 ",0 ,0 ,674 ,832 ,774 ,241 ,14 ,713 ,162 ,108 ,54 ,81 ,7 ,12 ,178 ,273 ,634 ,116 ,26 ,652 ,106 
E23000002,Cumbria,E22000035,Eden,E07000030,Eden,"3,119 ","1,252 ",0 ,3 ,364 ,472 ,413 ,154 ,7 ,748 ,140 ,58 ,82 ,128 ,4 ,12 ,174 ,290 ,417 ,102 ,25 ,363 ,51 
E23000002,Cumbria,E22000036,South Lakeland,E07000031,South Lakeland,"5,456 ","2,279 ",0 ,0 ,715 ,862 ,702 ,255 ,12 ,"1,295 ",332 ,217 ,115 ,130 ,14 ,29 ,250 ,540 ,698 ,139 ,34 ,647 ,97 
